,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,O1,O10,O2,O3,O4,O5,O6,O7,O8,O9,age,country,engnat,gender,hand,race,source
0,1,5,5,1,5,2,3,1,5,4,4,5,1,5,1,5,1,4,1,4,4,1,2,5,2,5,1,4,3,5,1,1,5,2,5,1,1,1,1,1,4,5,1,3,1,5,1,4,2,5,53,US,1,1,1,3,1
1,1,3,3,3,4,4,4,2,3,4,4,4,1,3,2,3,1,5,1,4,2,5,2,3,3,3,3,1,5,1,2,4,3,4,2,3,4,3,2,2,3,2,3,3,3,2,3,3,1,3,46,US,1,2,1,13,1
2,5,5,1,5,5,1,5,1,5,5,4,5,1,5,1,5,1,5,1,5,5,1,1,1,4,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,1,5,1,5,5,5,14,PK,2,2,1,1,1
3,2,3,5,4,4,3,5,3,4,4,3,3,3,4,5,1,4,5,4,2,2,5,5,2,4,3,4,3,4,4,5,5,4,4,2,4,5,5,5,4,4,5,3,5,2,4,2,5,2,5,19,RO,2,2,1,3,1
4,5,5,5,3,5,1,5,1,5,5,3,3,1,5,3,3,1,1,3,3,3,5,1,3,3,3,1,3,1,3,3,4,3,3,4,3,3,3,3,3,3,3,1,1,1,3,1,3,1,5,25,US,2,2,1,11,2
5,2,3,2,3,4,3,4,3,5,5,2,3,5,4,3,3,4,5,3,5,1,5,5,2,4,1,3,2,4,1,1,2,5,4,5,1,4,4,1,5,4,3,2,1,3,3,5,5,4,5,31,US,1,2,1,13,2
6,5,5,5,1,5,1,5,1,5,4,2,3,4,3,3,3,3,3,3,3,5,1,1,5,1,5,1,5,4,4,2,2,4,2,4,2,2,3,2,2,3,4,1,5,1,4,1,4,3,3,20,US,1,2,1,5,5
7,2,5,5,1,4,3,3,1,3,4,4,5,2,5,1,4,1,4,1,3,4,3,3,5,3,5,1,4,3,4,1,1,4,4,4,1,1,1,1,1,3,5,1,5,1,4,1,5,3,2,23,IN,2,1,1,4,2
8,1,4,5,1,5,1,5,1,5,5,4,3,3,5,2,5,2,5,2,4,3,3,1,5,1,5,1,5,2,5,2,3,4,5,3,3,5,5,4,3,3,5,3,5,3,5,1,5,3,4,39,US,1,2,3,5,4
9,2,2,3,1,4,2,4,3,3,3,5,4,2,4,2,3,2,4,2,4,1,5,4,2,5,2,4,1,4,1,5,4,2,5,2,3,4,3,2,3,4,4,2,5,2,4,1,4,3,4,18,US,1,2,1,3,5
10,2,3,4,2,4,1,5,1,4,3,3,3,4,3,4,1,5,3,3,3,1,5,5,2,5,1,4,1,4,1,5,3,3,5,3,2,5,3,3,4,5,5,3,5,3,4,1,3,5,4,17,IT,2,2,1,3,1
